"1930971207848927712","https://x.com/JohnLemonNFT/status/1930971207848927712","@acdupes @TheDogePoundNFT Awooooo!!","Twitter for iPhone",0,0,2,0,22,"Fri Jun 06 12:53:06 +0000 2025","und",0,true,"1930969919178289232","1930969919178289232","JohnLemonNFT","John Lemon 🍋 🐶",19849,2213,""
"1930971152102371510","https://x.com/JohnLemonNFT/status/1930971152102371510","@ClassicsCrypto 😆 it’s really not that exciting, I’d pass 😂","Twitter for iPhone",0,1,1,0,21,"Fri Jun 06 12:52:53 +0000 2025","en",0,true,"1930970880139513893","1930644458158063668","JohnLemonNFT","John Lemon 🍋 🐶",19849,2213,""
"1930970984032461193","https://x.com/JohnLemonNFT/status/1930970984032461193","@ClassicsCrypto @MechaChaoticNFT @MarsCatsVoyage Gm Jay!","Twitter for iPhone",0,1,1,0,17,"Fri Jun 06 12:52:12 +0000 2025","en",0,true,"1930965878310363592","1930965878310363592","JohnLemonNFT","John Lemon 🍋 🐶",19849,2213,""
"1930970944954044669","https://x.com/JohnLemonNFT/status/1930970944954044669","@ClassicsCrypto @Nifty_Island Awoooo!!","Twitter for iPhone",0,0,1,0,18,"Fri Jun 06 12:52:03 +0000 2025","und",0,true,"1930970410910179715","1930970410910179715","JohnLemonNFT","John Lemon 🍋 🐶",19849,2213,""
"1930970568557277456","https://x.com/JohnLemonNFT/status/1930970568557277456","@ZssBecker What an odd thing to tweet it’s like the man wanted to brag about this","Twitter for iPhone",0,2,5,0,1006,"Fri Jun 06 12:50:33 +0000 2025","en",0,true,"1930969756900733102","1930969756900733102","JohnLemonNFT","John Lemon 🍋 🐶",19849,2213,""
"1931718729840132431","https://x.com/JohnLemonNFT/status/1931718729840132431","@CryptoFrostyz @CryptoGarga Let’s go!","Twitter for iPhone",0,0,1,0,9,"Sun Jun 08 14:23:29 +0000 2025","en",0,true,"1931717936353263694","1931708660394127724","JohnLemonNFT","John Lemon 🍋 🐶",19832,2213,""
"1931717845362016392","https://x.com/JohnLemonNFT/status/1931717845362016392","@CryptoFrostyz @CryptoGarga Wen Otherside? I’m ready to play","Twitter for iPhone",0,1,1,0,22,"Sun Jun 08 14:19:58 +0000 2025","en",0,true,"1931708660394127724","1931708660394127724","JohnLemonNFT","John Lemon 🍋 🐶",19832,2213,""
"1931712530004443324","https://x.com/JohnLemonNFT/status/1931712530004443324","@CryptoFrostyz Haha I feel ya! I had fun in 2018 but I took no profits and lost it all 😆","Twitter for iPhone",0,0,1,0,13,"Sun Jun 08 13:58:51 +0000 2025","en",0,true,"1931711325501100112","1931705762448814324","JohnLemonNFT","John Lemon 🍋 🐶",19832,2213,""
"1931711186778665436","https://x.com/JohnLemonNFT/status/1931711186778665436","@CryptoFrostyz I didn’t have as much fun in icos but I’m a little biased 😜","Twitter for iPhone",0,1,1,0,18,"Sun Jun 08 13:53:31 +0000 2025","en",0,true,"1931710952396767572","1931705762448814324","JohnLemonNFT","John Lemon 🍋 🐶",19832,2213,""
"1931707809676034083","https://x.com/JohnLemonNFT/status/1931707809676034083","@Wii_Mee True! At least most NFTs tried to make something though vs memecoins who add nothing to the ecosystem","Twitter for iPhone",0,0,1,0,20,"Sun Jun 08 13:40:05 +0000 2025","en",0,true,"1931706704556614103","1931705762448814324","JohnLemonNFT","John Lemon 🍋 🐶",19832,2213,""
